EmployeeID,Age,Gender,Department,JobRole,Education,EducationField,MaritalStatus,MonthlyIncome,DistanceFromHome,YearsAtCompany,TrainingHours,LastPromotionYears,PerformanceRating,WorkLifeBalance,OverTime,Attrition,MonthlySalary
10001,58,Male,Finance,Financial Analyst,3,Life Sciences,Single,2712,26,4,9,9,5,3,Yes,Yes,2712
10002,48,Male,Sales,Sales Executive,3,Life Sciences,Single,6563,22,6,115,10,3,3,No,No,6563
10003,34,Female,Operations,Logistics Manager,2,Life Sciences,Single,4407,46,2,92,0,3,3,No,Yes,4407
10004,27,Female,Operations,Logistics Manager,3,Life Sciences,Single,5444,40,1,46,6,2,3,No,No,5444
10005,40,Male,R&D,Lab Technician,2,Technical Degree,Single,7624,18,3,166,0,4,3,No,No,7624
10006,58,Male,Operations,Ops Executive,3,Technical Degree,Single,7015,8,3,16,4,4,2,Yes,No,7015
10007,38,Male,Operations,Ops Executive,2,Technical Degree,Married,6103,42,2,19,9,3,3,No,Yes,6103
10008,42,Female,IT,IT Manager,4,Other,Married,4161,36,3,157,6,3,3,No,No,4161
10009,30,Male,IT,System Admin,4,Technical Degree,Married,1500,11,1,15,0,3,3,No,Yes,1500
10010,30,Female,Sales,Account Manager,3,Life Sciences,Single,11762,46,0,147,10,3,2,No,No,11762
10011,43,Male,R&D,Research Scientist,3,Life Sciences,Single,11582,16,2,10,2,2,3,No,No,11582
10012,55,Male,Sales,Sales Manager,5,Marketing,Married,6073,42,5,96,1,3,3,Yes,No,6073
10013,59,Female,Sales,Account Manager,1,Life Sciences,Single,8504,15,2,172,7,3,3,No,No,8504
10014,43,Male,Sales,Sales Executive,3,Life Sciences,Single,5903,40,3,55,3,3,3,No,No,5903
10015,22,Male,Operations,Ops Executive,3,Marketing,Married,3683,47,2,161,8,4,2,No,No,3683
10016,41,Male,Sales,Sales Executive,3,Human Resources,Single,6221,19,2,31,5,4,3,No,No,6221
10017,21,Male,Marketing,Content Specialist,3,Technical Degree,Single,6423,8,4,1,0,3,3,No,No,6423
10018,43,Male,HR,Recruiter,3,Marketing,Divorced,10468,17,4,80,10,4,3,No,No,10468
10019,49,Male,Sales,Account Manager,3,Life Sciences,Single,6285,18,2,63,1,4,3,No,No,6285
10020,57,Male,R&D,Research Scientist,3,Medical,Married,11114,2,4,69,5,3,1,No,No,11114
10021,21,Male,Sales,Sales Manager,3,Life Sciences,Married,5518,37,2,92,6,5,3,No,No,5518
10022,40,Female,Marketing,Content Specialist,4,Technical Degree,Single,4299,48,3,100,6,5,2,No,No,4299
10023,52,Female,Operations,Ops Executive,3,Marketing,Married,10468,24,5,42,9,3,4,No,No,10468
10024,31,Male,Sales,Sales Executive,2,Marketing,Single,10184,17,3,158,1,3,2,No,No,10184
10025,41,Female,Marketing,Marketing Manager,4,Other,Married,6231,15,4,39,0,4,4,No,No,6231
10026,44,Male,IT,IT Manager,3,Technical Degree,Single,7027,24,0,50,8,3,3,No,No,7027
10027,46,Male,Sales,Account Manager,2,Marketing,Divorced,6856,23,8,32,5,4,3,No,No,6856
10028,47,Male,Finance,Accountant,2,Technical Degree,Married,6634,27,1,99,7,3,3,Yes,No,6634
10029,35,Male,Finance,Accountant,4,Marketing,Married,4885,22,2,196,8,4,3,No,No,4885
10030,34,Male,Sales,Sales Manager,4,Technical Degree,Married,13188,47,1,193,6,3,1,Yes,No,13188
10031,22,Male,IT,System Admin,3,Other,Single,4800,13,2,88,0,3,3,Yes,No,4800
10032,56,Female,Sales,Sales Manager,3,Marketing,Single,7668,49,3,1,4,4,4,Yes,No,7668
10033,26,Female,R&D,Research Scientist,3,Human Resources,Single,6571,12,4,60,9,3,4,No,No,6571
10034,40,Male,Sales,Account Manager,4,Life Sciences,Single,1500,35,3,138,4,3,2,No,No,1500
10035,28,Female,Marketing,Marketing Manager,4,Life Sciences,Married,6353,28,2,6,9,3,3,No,No,6353
10036,58,Female,IT,IT Manager,3,Technical Degree,Married,5156,10,4,0,8,3,4,No,No,5156
10037,37,Female,Sales,Account Manager,3,Life Sciences,Married,4330,10,0,184,10,3,3,No,No,4330
10038,23,Male,R&D,Research Scientist,1,Medical,Single,2883,45,6,70,9,3,2,No,No,2883
10039,44,Male,Sales,Sales Manager,2,Marketing,Married,11409,24,3,198,7,3,2,No,No,11409
10040,33,Male,IT,System Admin,4,Life Sciences,Single,2661,28,5,141,10,4,3,Yes,No,2661
10041,28,Male,Sales,Sales Manager,2,Life Sciences,Married,5426,39,1,28,10,4,3,No,No,5426
10042,45,Female,Operations,Operations Manager,3,Life Sciences,Single,4432,37,2,42,1,3,4,No,No,4432
10043,21,Male,Marketing,Marketing Manager,4,Human Resources,Single,2828,9,2,15,0,4,1,No,Yes,2828
10044,39,Male,Finance,Financial Analyst,3,Life Sciences,Married,8303,36,1,119,1,3,3,No,No,8303
10045,47,Female,Sales,Sales Executive,4,Other,Single,7334,35,1,128,1,3,4,No,Yes,7334
10046,26,Female,R&D,Lab Technician,3,Life Sciences,Single,4506,43,0,28,1,3,4,No,No,4506
