Date,Store_ID,Product_ID,Category,Units_Sold,Price,Discount,Promotion,Holiday,Temperature,Fuel_Price,Unemployment,Sales
2023-01-01,S007,P018,Furniture,177,393.28,0.0,1,0,28.1,3.03,5.51,69610.56
2023-01-02,S020,P015,Toys,160,301.29,0.0,0,0,21.3,4.05,7.34,48206.4
2023-01-03,S015,P080,Clothing,153,210.0,0.1,0,0,20.4,3.97,4.72,28917.0
2023-01-04,S011,P027,Clothing,126,479.18,0.15,0,0,31.9,3.62,5.09,51320.18
2023-01-05,S008,P072,Clothing,114,272.85,0.0,0,0,23.9,3.79,5.08,31104.9
2023-01-06,S007,P060,Furniture,17,304.52,0.1,1,0,25.1,4.42,5.01,4659.16
2023-01-07,S019,P046,Electronics,159,114.14,0.2,0,0,21.0,3.89,5.64,14518.61
2023-01-08,S011,P089,Electronics,104,314.7,0.1,0,0,22.7,3.99,7.46,29455.92
2023-01-09,S011,P017,Grocery,139,287.95,0.1,0,1,31.5,3.1,7.11,36022.54
2023-01-10,S004,P093,Electronics,26,96.5,0.1,0,0,27.4,3.25,5.15,2258.1
2023-01-11,S008,P053,Clothing,78,34.5,0.05,0,0,33.2,3.45,5.48,2556.45
2023-01-12,S003,P008,Clothing,185,304.16,0.1,0,0,26.0,3.81,6.34,50642.64
2023-01-13,S002,P079,Clothing,136,383.03,0.1,0,0,24.0,4.16,4.06,46882.87
2023-01-14,S012,P027,Grocery,27,264.08,0.05,1,0,25.2,3.48,6.87,6773.65
2023-01-15,S006,P046,Clothing,123,117.25,0.05,1,0,30.7,3.53,7.08,13700.66
2023-01-16,S002,P050,Electronics,74,334.93,0.2,1,0,28.3,3.38,7.0,19827.86
2023-01-17,S001,P071,Furniture,88,44.65,0.15,1,0,33.6,3.38,5.31,3339.82
2023-01-18,S012,P003,Furniture,105,223.71,0.0,0,0,29.0,4.42,5.62,23489.55
2023-01-19,S012,P093,Toys,88,85.87,0.0,1,0,27.4,3.95,4.04,7556.56
2023-01-20,S017,P064,Electronics,165,96.31,0.1,1,0,31.8,3.23,5.4,14302.04
2023-01-21,S010,P044,Clothing,32,105.14,0.2,1,0,34.2,4.08,5.61,2691.58
2023-01-22,S016,P053,Furniture,140,196.42,0.1,0,0,25.3,4.08,7.17,24748.92
2023-01-23,S015,P024,Electronics,5,30.32,0.0,1,0,23.7,4.0,7.13,151.6
2023-01-24,S015,P060,Furniture,169,201.91,0.05,1,1,29.2,3.2,7.38,32416.65
2023-01-25,S019,P003,Clothing,67,258.3,0.15,0,0,27.5,3.61,7.1,14710.19
2023-01-26,S012,P020,Furniture,26,244.23,0.2,1,0,34.8,3.16,4.03,5079.98
2023-01-27,S020,P046,Toys,74,194.48,0.05,0,0,26.9,4.22,6.25,13671.94
2023-01-28,S003,P015,Toys,129,420.38,0.15,1,0,21.1,3.98,4.24,46094.67
2023-01-29,S005,P025,Furniture,153,76.94,0.2,0,1,34.7,3.76,4.95,9417.46
2023-01-30,S019,P094,Electronics,100,255.32,0.2,1,0,32.7,3.51,6.02,20425.6
2023-01-31,S007,P078,Electronics,167,35.71,0.0,1,0,22.7,3.28,6.45,5963.57
2023-02-01,S009,P071,Electronics,83,40.22,0.05,1,0,33.6,3.16,6.29,3171.35
2023-02-02,S007,P017,Furniture,9,289.06,0.2,0,0,25.1,4.45,4.17,2081.23
2023-02-03,S018,P084,Electronics,64,285.18,0.2,1,0,25.7,3.3,4.36,14601.22
2023-02-04,S004,P100,Clothing,124,439.63,0.15,0,0,33.6,3.09,4.45,46337.0
2023-02-05,S014,P009,Toys,50,281.15,0.0,0,0,28.0,4.44,4.32,14057.5
2023-02-06,S018,P038,Clothing,182,480.1,0.1,0,0,22.1,3.82,4.62,78640.38
2023-02-07,S009,P048,Electronics,180,29.1,0.0,0,0,25.5,4.19,6.41,5238.0
2023-02-08,S002,P060,Clothing,138,53.51,0.1,1,0,30.8,3.07,6.91,6645.94
2023-02-09,S020,P063,Electronics,60,26.81,0.05,1,1,22.6,3.85,5.43,1528.17
